,category,cohort_mean,community_1,community_2,community_3,community_4,text
E05,Education,4.094,0.031,-0.157,0.192,0.031,Students should be encouraged to take courses outside their primary discipline.
E06,Education,3.871,0.296,-0.121,-0.299,0.379,Every undergraduate student should participate in at least one research project.
E07,Education,4.306,0.069,-0.118,-0.068,0.444,"Publishing research before graduation should be encouraged, but not mandatory."
E08,Education,4.259,0.241,-0.009,-0.211,-0.134,Maintaining academic honesty is more important than obtaining high grades.
E09,Education,3.8,-0.258,0.075,-0.229,1.075,Collaborative learning is generally more effective than individual learning.
E10,Education,4.541,0.084,-0.041,-0.113,0.209,Universities should prioritize innovation and problem-solving over rote learning.
E11,Education,4.635,-0.177,0.052,0.079,0.115,University curricula should be updated more frequently to match emerging technologies.
E12,Education,3.953,0.214,0.141,-0.715,0.672,Artificial intelligence should be integrated into teaching and personalized learning.
E13,Education,3.329,-0.371,0.077,-0.091,1.046,Universities should invest more resources in research than in expanding infrastructure.
E14,Education,4.529,0.137,-0.092,-0.101,0.221,Strong collaborations between universities and industry improve student education.
E15,Education,4.718,0.074,-0.061,-0.003,0.032,Continuous learning and skill development are essential throughout one's career.
S01,Ethics,4.282,-0.116,0.061,-0.187,0.593,Every individual has a responsibility to contribute positively to society.
S02,Ethics,3.835,-0.46,0.071,0.069,0.915,Universities should encourage students to participate in community service activities.
S03,Ethics,4.271,-0.229,0.073,-0.032,0.479,New technologies should be evaluated for their societal impact before widespread deployment.
S04,Ethics,4.153,-0.028,-0.122,0.133,0.222,Technology companies should be accountable for unethical use of their platforms.
S05,Ethics,4.647,-0.189,0.134,0.067,-0.147,Individuals should have greater control over how their personal data are collected and used.
S06,Ethics,4.4,0.142,-0.056,-0.019,-0.15,"Combating online misinformation requires shared responsibility among users, platforms, and governments."
S07,Ethics,4.482,0.101,-0.045,-0.149,0.268,Equal opportunities should be prioritized regardless of a person's background.
S08,Ethics,3.918,-0.168,-0.011,0.178,0.082,Diverse teams generally make better decisions than homogeneous teams.
S09,Ethics,4.494,0.006,-0.088,-0.018,0.381,Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.
S10,Ethics,4.235,-0.152,-0.079,0.193,0.265,Scientific evidence should play an important role in public policy decisions.
S11,Ethics,4.565,0.019,-0.221,0.197,0.31,People should be free to express differing opinions as long as they do not promote harm or discrimination.
S12,Ethics,4.271,-0.229,-0.083,0.206,0.479,Young people should actively participate in addressing societal challenges.
S13,Ethics,4.294,-0.294,0.081,0.039,0.456,Critical evaluation of online information should be taught as a core educational skill.
S14,Ethics,4.306,0.069,-0.025,-0.115,0.194,Leaders should prioritize ethical decision-making even when it reduces short-term gains.
S15,Ethics,4.259,-0.217,0.085,-0.068,0.491,Building public trust is essential for responsible adoption of emerging technologies.
V01,Environment,4.529,0.262,-0.154,-0.101,0.096,Climate change requires immediate global action.
V02,Environment,4.447,0.053,-0.01,-0.066,0.053,Governments should prioritize investment in renewable energy over fossil fuels.
V03,Environment,3.976,-0.143,0.274,-0.453,0.524,Individuals should actively reduce their personal energy consumption.
V04,Environment,4.4,-0.233,0.069,0.076,0.225,Public transportation and non-motorized transport should be promoted even if they require additional public investment.
V05,Environment,4.4,0.058,-0.213,0.171,0.225,Single-use plastics should be significantly restricted.
V06,Environment,4.518,-0.184,0.045,0.054,0.232,"Water conservation should be a priority in households, institutions, and industries."
V07,Environment,4.494,-0.036,-0.088,0.077,0.256,Protecting biodiversity is essential for long-term human well-being.
V08,Environment,4.294,-0.211,0.05,-0.008,0.456,Universities should adopt environmentally sustainable campus practices even if implementation costs increase.
V09,Environment,4.6,0.067,-0.1,0.019,0.15,"Products should be designed to encourage reuse, repair, and recycling."
V10,Environment,4.035,-0.41,0.215,-0.083,0.59,Consumers should consider environmental impact when purchasing products.
V11,Environment,4.318,0.057,-0.005,-0.222,0.432,Technological innovation is essential for addressing environmental challenges.
V12,Environment,4.118,-0.284,0.164,-0.213,0.757,Environmental sustainability should be integrated into higher education curricula.
V13,Environment,4.671,0.079,-0.046,-0.099,0.204,Companies should be held accountable for the environmental impacts of their activities.
V14,Environment,4.553,0.114,-0.084,-0.172,0.447,International cooperation is necessary to effectively address environmental challenges.
V15,Environment,4.506,-0.089,-0.037,0.066,0.244,Current generations have a responsibility to protect natural resources for future generations.
